Age,Gender,EmploymentYears,HomeOwnership,MaritalStatus,AnnualIncome,LoanAmount,LoanTermMonths,CreditScore,NumCreditCards,DebtToIncomeRatio,PreviousDefaults,Default
59,Female,37,Own,Married,901550,650156,36,721,0,0.72,1,1
49,Female,27,Rent,Single,675891,487739,48,635,3,0.72,0,0
35,Male,13,Rent,Married,935999,389638,60,572,4,0.42,0,1
63,Male,37,Own,Single,799204,383298,60,743,3,0.48,0,0
28,Female,3,Rent,Married,466032,233181,48,645,1,0.5,0,0
41,Female,18,Mortgage,Single,555540,242830,60,656,4,0.44,0,0
59,Male,34,Rent,Single,819088,545545,24,728,4,0.67,1,1
39,Male,17,Rent,Married,521832,394969,12,663,4,0.76,2,0
43,Male,18,Rent,Married,449655,267442,24,706,3,0.59,0,1
31,Female,4,Rent,Single,560648,178763,24,704,1,0.32,0,0
31,Female,7,Own,Divorced,502519,254233,36,634,2,0.51,0,0
44,Female,17,Mortgage,Single,800225,356664,36,623,3,0.45,0,0
56,Male,29,Own,Married,787055,189777,60,712,4,0.24,0,0
60,Male,36,Own,Married,904251,239814,36,718,0,0.27,1,0
44,Female,21,Mortgage,Married,703410,506491,36,689,4,0.72,1,0
23,Female,0,Rent,Married,316597,191565,36,609,1,0.61,0,0
42,Male,17,Rent,Single,723896,391483,36,609,3,0.54,0,0
22,Male,0,Own,Married,253221,192937,36,644,6,0.76,2,0
44,Male,17,Rent,Divorced,612566,269783,60,716,4,0.44,0,0
64,Male,38,Mortgage,Married,984543,217693,12,718,1,0.22,0,0
50,Female,23,Mortgage,Single,580447,364457,24,614,2,0.63,0,0
58,Female,33,Own,Single,831723,543980,24,724,1,0.65,0,0
22,Male,0,Own,Married,401744,239691,60,688,4,0.6,0,0
41,Male,19,Mortgage,Single,605782,419661,48,694,3,0.69,0,0
53,Male,32,Own,Married,1341132,595577,36,686,3,0.44,0,0
32,Female,10,Own,Married,392804,264070,12,622,9,0.67,0,0
42,Male,19,Rent,Single,661663,495013,48,649,2,0.75,0,0
64,Male,43,Own,Divorced,1120932,315470,48,781,1,0.28,0,0
45,Male,23,Rent,Married,707017,490981,60,683,5,0.69,0,1
69,Male,44,Rent,Single,1074508,393736,24,774,3,0.37,0,0
47,Female,21,Own,Single,623482,412688,12,721,6,0.66,0,0
62,Male,35,Rent,Single,794729,383887,48,677,3,0.48,0,0
48,Male,20,Own,Married,846924,189561,36,666,5,0.22,0,1
36,Female,8,Own,Married,477955,206034,48,709,5,0.43,0,1
35,Male,10,Rent,Single,543959,141883,36,738,3,0.26,0,1
67,Male,43,Own,Single,1143846,554902,36,723,4,0.49,0,1
64,Female,39,Rent,Married,1271989,820547,60,773,4,0.65,0,0
23,Female,0,Mortgage,Married,453751,294006,48,644,1,0.65,0,0
57,Female,34,Rent,Single,666581,186222,36,742,3,0.28,0,0
27,Female,0,Rent,Married,354986,115930,60,693,2,0.33,0,0
41,Female,15,Mortgage,Divorced,932724,205139,48,617,2,0.22,0,0
29,Male,8,Mortgage,Single,397705,235058,60,638,1,0.59,0,0
59,Male,37,Rent,Married,1268126,923556,24,748,1,0.73,0,0
38,Male,16,Mortgage,Married,503268,234934,36,694,4,0.47,0,0
24,Male,1,Own,Single,418121,248720,48,575,2,0.59,0,1
45,Male,24,Mortgage,Married,543321,206064,48,740,1,0.38,0,0
34,Female,7,Own,Single,563109,427030,12,675,1,0.76,0,0
29,Female,4,Own,Divorced,782166,489988,24,657,2,0.63,0,0
46,Male,18,Mortgage,Married,640287,491125,60,705,2,0.77,0,0
22,Male,0,Mortgage,Married,320140,249989,24,636,5,0.78,0,0
40,Male,14,Rent,Married,555961,390626,60,653,5,0.7,0,0
48,Female,21,Mortgage,Divorced,781044,433458,48,652,4,0.55,0,1
67,Male,44,Own,Married,1338684,300362,36,757,1,0.22,0,0
27,Female,2,Mortgage,Married,411565,149883,36,656,2,0.36,0,0
64,Female,42,Rent,Single,868003,614970,36,663,3,0.71,0,0
28,Male,5,Rent,Married,482525,347105,60,642,4,0.72,0,1
67,Female,41,Rent,Married,860893,246553,12,726,1,0.29,0,0
55,Male,32,Mortgage,Married,986298,560173,24,687,1,0.57,0,0
34,Female,6,Own,Married,384502,99311,48,638,5,0.26,0,0
37,Male,14,Mortgage,Married,650711,408933,36,625,1,0.63,1,0
56,Male,29,Rent,Married,826569,419683,36,741,1,0.51,0,0
60,Female,32,Rent,Married,1003155,713022,60,740,4,0.71,0,0
24,Female,2,Own,Single,270100,183744,24,572,1,0.68,0,0
22,Male,0,Rent,Married,418373,277677,36,649,2,0.66,0,0
26,Male,4,Rent,Married,512329,401211,60,704,1,0.78,0,1
62,Male,38,Rent,Single,1072891,315799,36,712,2,0.29,0,0
24,Female,0,Rent,Married,443869,224577,36,686,2,0.51,2,0
49,Male,21,Own,Married,539083,117441,12,736,1,0.22,0,0
